Record Identifier,Measurement Date,Month,Year,First PIP,PIP Table #,Eff. Chart Material Class,Eff. Chart Cell Type,Detailed description,Group(s),Efficiency (%),Revised/New Efficiency (%),Combined efficiency (%),Uncertainty (%),Area (cm2),Type of Area,VOC (V),Jsc (mA/cm2),Revised/ New Jsc (mA/cm2) (PIP #33 ->),FF (%),  Suns,Accredited Testing Centers,REV. EFF. Check 22,Notes
0,1976-01-01,1,1976,,,Thin-Film Technologies,Amorphous Si:H (stabilized),Heterojunction (adj for total area),RCA,0.6,,0.6,,0.2,,0.273,6.0,,0.28,1.0,,,"Note: Check is inconsistent, but left for historical purposes"
1,1976-01-01,1,1976,,,Thin-Film Technologies,CdTe,CdS/CdTe (70 mW/cm2) [NASA],Matsushita,8.7,,8.873999999999999,,0.9,,0.75,14.0,,0.58,1.0,,,"Note: Check is inconsistent, but left for historical purposes"
2,1976-08-01,8,1976,,,Thin-Film Technologies,CIGS,CdS/CuInSe2/Au-Zn (AM1 NASA),University of Maine,5.7,,5.757000000000001,,1.2,,0.44,25.1,,0.52,1.0,,,
3,1977-02-01,2,1977,,,Single-Junction GaAs,Single crystal,Measured under 93.9 mW/cm2 AM1 at NASA,IBM/ TJ Watson Research Center,21.9,,22.228499999999997,,,,0.976,27.8,,0.76,,NASA,,
4,1977-04-01,4,1977,,,Crystalline Si Cells,Single crystal (non-concentrator),EFG [NASA],Mobil Solar,13.8,,13.938,,1.01,,0.58,, ,0.753,1.0,Unknown,,
5,1977-05-01,5,1977,,,Thin-Film Technologies,CIGS,CdS/CuInSe2/Au-Zn (AM1 NASA),University of Maine,6.7,,6.767,,1.2,,0.485,25.5,,0.54,1.0,,,
6,1978-01-01,1,1978,,,Thin-Film Technologies,Amorphous Si:H (stabilized),"Glow-discharge a-Si:H, heterojunction (adj for total area)",RCA,1.2,,1.2,,0.25,,0.43,10.0,,0.28,1.0,,,
7,1978-02-01,2,1978,,,Crystalline Si Cells,Single crystal (non-concentrator),AM1 [NASA] 100.3 mW/cm2,RCA,14.899999999999999,,15.049,,1.02,,0.6,34.7,,0.72,1.0,,,
8,1979-02-01,2,1979,,,Thin-Film Technologies,Amorphous Si:H (stabilized),"Glass-covered, p-i-n (adj for total area)",RCA,2.4,,2.4,,0.25,,0.58,10.5,,0.4,1.0,,,
9,1979-11-01,11,1979,,,Thin-Film Technologies,CdTe,CdS/CdHgTe (~4%Hg) [NASA],Monosolar,8.85,,9.027,,0.48,,0.73,17.6,,0.68,1.0,,,
10,1979-12-01,12,1979,,,Thin-Film Technologies,CIGS,CdS/CuInSe2 3-source deposition (NASA),Boeing,7.3999999999999995,,7.473999999999999,,1.02,,0.39,33.01,,0.58,1.0,,,
11,1980-01-01,1,1980,,,Crystalline Si Cells,Single crystal (non-concentrator),Back surface field p+-n-n+ AM1 [Sandia],Sandia National Laboratory,15.9,,16.059,,2,,0.59,31.1,,0.807,1.0,,,
12,1980-01-01,1,1980,,,Thin-Film Technologies,Amorphous Si:H (stabilized),p-i-n (adj for total area),RCA,3.1,,3.1,,1.45,,0.75,7.0,,0.586,1.0,,,
